X,Y,DepthToGroundwater,GroundwaterProductivity,GroundwaterStorage
-16.73,13.81,0-7,,
-16.68,13.81,0-7,,
-16.62,13.81,0-7,,
-16.58,13.81,0-7,,
-16.52,13.81,0-7,,
-16.48,13.81,0-7,,
-16.42,13.81,0-7,,
-16.38,13.81,0-7,,
-16.32,13.81,0-7,,
-16.27,13.81,25-50,,
-16.23,13.81,25-50,,
-16.18,13.81,25-50,,
-16.12,13.81,25-50,,
-16.08,13.81,25-50,,
-16.02,13.81,25-50,,
-15.98,13.81,25-50,,
-15.92,13.81,25-50,,
-15.88,13.81,25-50,,
-15.82,13.81,25-50,,
-15.78,13.81,25-50,,
-15.72,13.81,25-50,,
-15.68,13.81,25-50,,
-15.62,13.81,25-50,,
-15.58,13.81,25-50,,
-15.52,13.81,25-50,,
-15.48,13.81,25-50,,
-15.42,13.81,25-50,,
-15.38,13.81,25-50,,
-15.32,13.81,25-50,,
-15.28,13.81,25-50,,
-15.22,13.81,25-50,,
-15.18,13.81,25-50,,
-15.12,13.81,25-50,,
-15.08,13.81,25-50,,
-15.02,13.81,0-7,,
-14.98,13.81,0-7,,
-14.92,13.81,25-50,,
-14.88,13.81,25-50,,
-14.82,13.81,25-50,,
-14.78,13.81,25-50,,
-14.72,13.81,25-50,,
-14.68,13.81,25-50,,
-14.62,13.81,25-50,,
-14.58,13.81,25-50,,
-14.52,13.81,25-50,,
-14.48,13.81,25-50,,
-14.42,13.81,25-50,,
-14.38,13.81,25-50,,
-14.32,13.81,25-50,,
-14.28,13.81,25-50,,
-14.22,13.81,25-50,,
-14.18,13.81,25-50,,
-14.12,13.81,25-50,,
-14.08,13.81,25-50,,
-14.02,13.81,25-50,,
-13.98,13.81,0-7,,
-13.92,13.81,0-7,,
-13.88,13.81,0-7,,
-13.82,13.81,0-7,,
-16.68,13.76,>250,,
-16.62,13.76,25-50,,
-16.58,13.76,0-7,,
-16.52,13.76,0-7,,
-16.48,13.76,25-50,,
-16.42,13.76,25-50,,
-16.38,13.76,25-50,,
