X,Y,DepthToGroundwater,GroundwaterProductivity,GroundwaterStorage
-16.775,13.061,7-25,,
-16.775,13.111,7-25,,
-16.775,13.161,7-25,,
-16.775,13.211,7-25,,
-16.775,13.261,7-25,,
-16.775,13.311,7-25,,
-16.775,13.361,0-7,,
-16.725,13.061,0-7,,
-16.725,13.111,0-7,,
-16.725,13.161,0-7,,
-16.725,13.211,7-25,,
-16.725,13.261,7-25,,
-16.725,13.311,0-7,,
-16.725,13.361,0-7,,
-16.725,13.811,0-7,,">50,000"
-16.675,13.061,0-7,,">50,000"
-16.675,13.111,0-7,>20,">50,000"
-16.675,13.161,0-7,>20,">50,000"
-16.675,13.211,0-7,>20,">50,000"
-16.675,13.261,0-7,>20,">50,000"
-16.675,13.311,7-25,>20,">50,000"
-16.675,13.361,7-25,>20,">50,000"
-16.675,13.411,0-7,>20,">50,000"
-16.675,13.461,0-7,>20,">50,000"
-16.675,13.761,>250,,">50,000"
-16.675,13.811,0-7,,">50,000"
-16.636,13.081,7-25,>20,">50,000"
-16.636,13.101,7-25,>20,">50,000"
-16.636,13.131,7-25,>20,">50,000"
-16.636,13.151,0-7,>20,">50,000"
-16.636,13.181,0-7,>20,">50,000"
-16.636,13.201,0-7,>20,">50,000"
-16.636,13.231,0-7,>20,">50,000"
-16.636,13.251,0-7,>20,">50,000"
-16.636,13.281,0-7,>20,">50,000"
-16.636,13.301,0-7,>20,">50,000"
-16.636,13.331,0-7,>20,">50,000"
-16.636,13.381,0-7,>20,">50,000"
-16.636,13.681,0-7,,">50,000"
-16.636,13.731,0-7,,">50,000"
-16.636,13.781,0-7,,">50,000"
-16.636,13.831,0-7,,">50,000"
-16.625,13.061,7-25,>20,">50,000"
-16.625,13.111,7-25,>20,">50,000"
-16.625,13.161,0-7,>20,">50,000"
-16.625,13.211,0-7,>20,">50,000"
-16.625,13.261,7-25,>20,">50,000"
-16.625,13.311,0-7,>20,">50,000"
-16.625,13.361,7-25,>20,">50,000"
-16.625,13.411,0-7,>20,">50,000"
-16.625,13.461,0-7,>20,">50,000"
-16.625,13.661,0-7,,">50,000"
-16.625,13.711,0-7,>20,">50,000"
-16.625,13.761,25-50,>20,">50,000"
-16.625,13.811,0-7,>20,">50,000"
-16.586,13.081,7-25,>20,">50,000"
-16.586,13.101,7-25,>20,">50,000"
-16.586,13.131,7-25,>20,">50,000"
-16.586,13.151,0-7,>20,">50,000"
-16.586,13.181,0-7,>20,">50,000"
-16.586,13.201,0-7,>20,">50,000"
-16.586,13.231,7-25,>20,">50,000"
-16.586,13.251,7-25,>20,">50,000"
-16.586,13.281,7-25,>20,">50,000"
-16.586,13.331,0-7,>20,">50,000"
-16.586,13.481,0-7,>20,">50,000"
-16.586,13.681,0-7,>20,">50,000"
-16.586,13.701,0-7,>20,">50,000"
-16.586,13.731,0-7,>20,">50,000"
-16.586,13.751,0-7,>20,">50,000"
-16.586,13.781,0-7,>20,">50,000"
-16.586,13.801,0-7,>20,">50,000"
-16.586,13.831,0-7,>20,">50,000"
-16.575,13.061,0-7,>20,">50,000"
-16.575,13.111,7-25,>20,">50,000"
-16.575,13.161,0-7,>20,">50,000"
-16.575,13.211,7-25,>20,">50,000"
-16.575,13.261,7-25,>20,">50,000"
-16.575,13.311,0-7,>20,">50,000"
-16.575,13.361,7-25,>20,">50,000"
-16.575,13.411,0-7,>20,">50,000"
-16.575,13.461,>250,>20,">50,000"
-16.575,13.611,0-7,,">50,000"
-16.575,13.661,0-7,>20,">50,000"
-16.575,13.711,0-7,>20,">50,000"
-16.575,13.761,0-7,>20,">50,000"
-16.575,13.811,0-7,>20,">50,000"
-16.536,13.081,0-7,>20,">50,000"
-16.536,13.101,7-25,>20,">50,000"
-16.536,13.131,7-25,>20,">50,000"
-16.536,13.151,7-25,>20,">50,000"
-16.536,13.181,7-25,>20,">50,000"
-16.536,13.201,7-25,>20,">50,000"
-16.536,13.231,7-25,>20,">50,000"
-16.536,13.251,7-25,>20,">50,000"
-16.536,13.281,0-7,>20,">50,000"
-16.536,13.381,7-25,>20,">50,000"
-16.536,13.401,0-7,>20,">50,000"
-16.536,13.431,0-7,>20,">50,000"
-16.536,13.451,0-7,>20,">50,000"
-16.536,13.481,0-7,>20,">50,000"
-16.536,13.501,0-7,>20,">50,000"
-16.536,13.531,0-7,>20,">50,000"
-16.536,13.551,0-7,>20,">50,000"
-16.536,13.581,0-7,>20,">50,000"
-16.536,13.631,0-7,>20,">50,000"
-16.536,13.651,0-7,>20,">50,000"
-16.536,13.681,0-7,>20,">50,000"
-16.536,13.731,0-7,>20,">50,000"
-16.536,13.751,0-7,>20,">50,000"
-16.536,13.781,0-7,>20,">50,000"
-16.536,13.801,0-7,>20,">50,000"
-16.536,13.831,0-7,>20,">50,000"
-16.525,13.061,0-7,>20,">50,000"
-16.525,13.111,7-25,>20,">50,000"
-16.525,13.161,7-25,>20,">50,000"
-16.525,13.211,7-25,>20,">50,000"
-16.525,13.261,0-7,>20,">50,000"
-16.525,13.311,0-7,>20,">50,000"
-16.525,13.361,7-25,>20,">50,000"
-16.525,13.411,25-50,>20,">50,000"
-16.525,13.461,0-7,>20,">50,000"
-16.525,13.511,0-7,>20,">50,000"
-16.525,13.561,0-7,>20,">50,000"
-16.525,13.611,0-7,>20,">50,000"
-16.525,13.661,0-7,>20,">50,000"
-16.525,13.711,0-7,>20,">50,000"
-16.525,13.761,0-7,>20,">50,000"
-16.525,13.811,0-7,>20,">50,000"
-16.486,13.081,7-25,>20,">50,000"
-16.486,13.101,7-25,>20,">50,000"
-16.486,13.131,7-25,>20,">50,000"
-16.486,13.151,7-25,>20,">50,000"
-16.486,13.181,7-25,>20,">50,000"
-16.486,13.201,7-25,>20,">50,000"
-16.486,13.231,0-7,>20,">50,000"
-16.486,13.331,0-7,>20,">50,000"
-16.486,13.351,7-25,>20,">50,000"
-16.486,13.381,7-25,>20,">50,000"
-16.486,13.401,25-50,>20,">50,000"
-16.486,13.431,25-50,>20,">50,000"
-16.486,13.451,0-7,>20,">50,000"
-16.486,13.481,0-7,>20,">50,000"
-16.486,13.501,0-7,>20,">50,000"
-16.486,13.531,0-7,>20,">50,000"
-16.486,13.551,0-7,>20,">50,000"
-16.486,13.581,0-7,>20,">50,000"
-16.486,13.601,0-7,>20,">50,000"
-16.486,13.631,0-7,>20,">50,000"
-16.486,13.651,0-7,>20,">50,000"
-16.486,13.681,0-7,>20,">50,000"
-16.486,13.701,0-7,>20,">50,000"
